Product Key,Alternate Key,Name,Color,Size,Product Line,Model,Description,Product Status,Sub Category,Category
1,AR-5381,Adjustable Race,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
2,BA-8327,Bearing Ball,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
3,BE-2349,BB Ball Bearing,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
4,BE-2908,Headset Ball Bearings,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
5,BL-2036,Blade,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
6,CA-5965,LL Crankarm,Black,NULL,NULL,NULL,NULL,Current,NULL,NULL
7,CA-6738,ML Crankarm,Black,NULL,NULL,NULL,NULL,Current,NULL,NULL
8,CA-7457,HL Crankarm,Black,NULL,NULL,NULL,NULL,Current,NULL,NULL
9,CB-2903,Chainring Bolts,Silver,NULL,NULL,NULL,NULL,Current,NULL,NULL
10,CN-6137,Chainring Nut,Silver,NULL,NULL,NULL,NULL,Current,NULL,NULL
11,CR-7833,Chainring,Black,NULL,NULL,NULL,NULL,Current,NULL,NULL
12,CR-9981,Crown Race,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
13,CS-2812,Chain Stays,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
14,DC-8732,Decal 1,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
15,DC-9824,Decal 2,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
16,DT-2377,Down Tube,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
17,EC-M092,Mountain End Caps,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
18,EC-R098,Road End Caps,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
19,EC-T209,Touring End Caps,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
20,FE-3760,Fork End,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
21,FH-2981,Freewheel,Silver,NULL,NULL,NULL,NULL,Current,NULL,NULL
22,FW-1000,Flat Washer 1,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
23,FW-1200,Flat Washer 6,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
24,FW-1400,Flat Washer 2,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
25,FW-3400,Flat Washer 9,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
26,FW-3800,Flat Washer 4,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
27,FW-5160,Flat Washer 3,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
28,FW-5800,Flat Washer 8,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
29,FW-7160,Flat Washer 5,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
30,FW-9160,Flat Washer 7,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
31,FC-3654,Fork Crown,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
32,FC-3982,Front Derailleur Cage,Silver,NULL,NULL,NULL,NULL,Current,NULL,NULL
33,FL-2301,Front Derailleur Linkage,Silver,NULL,NULL,NULL,NULL,Current,NULL,NULL
34,GP-0982,Guide Pulley,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
35,GT-0820,LL Grip Tape,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
36,GT-1209,ML Grip Tape,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
37,GT-2908,HL Grip Tape,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
38,HJ-1213,Thin-Jam Hex Nut 9,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
39,HJ-1220,Thin-Jam Hex Nut 10,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
40,HJ-1420,Thin-Jam Hex Nut 1,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
41,HJ-1428,Thin-Jam Hex Nut 2,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
42,HJ-3410,Thin-Jam Hex Nut 15,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
43,HJ-3416,Thin-Jam Hex Nut 16,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
44,HJ-3816,Thin-Jam Hex Nut 5,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
45,HJ-3824,Thin-Jam Hex Nut 6,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
46,HJ-5161,Thin-Jam Hex Nut 3,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
47,HJ-5162,Thin-Jam Hex Nut 4,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
48,HJ-5811,Thin-Jam Hex Nut 13,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
49,HJ-5818,Thin-Jam Hex Nut 14,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
50,HJ-7161,Thin-Jam Hex Nut 7,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
51,HJ-7162,Thin-Jam Hex Nut 8,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
52,HJ-9080,Thin-Jam Hex Nut 12,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
53,HJ-9161,Thin-Jam Hex Nut 11,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
54,HN-1024,Hex Nut 5,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
55,HN-1032,Hex Nut 6,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
56,HN-1213,Hex Nut 16,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
57,HN-1220,Hex Nut 17,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
58,HN-1224,Hex Nut 7,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
59,HN-1420,Hex Nut 8,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
60,HN-1428,Hex Nut 9,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
61,HN-3410,Hex Nut 22,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
62,HN-3416,Hex Nut 23,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
63,HN-3816,Hex Nut 12,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
64,HN-3824,Hex Nut 13,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
65,HN-4402,Hex Nut 1,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
66,HN-5161,Hex Nut 10,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
67,HN-5162,Hex Nut 11,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
68,HN-5400,Hex Nut 2,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
69,HN-5811,Hex Nut 20,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
70,HN-5818,Hex Nut 21,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
71,HN-6320,Hex Nut 3,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
72,HN-7161,Hex Nut 14,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
73,HN-7162,Hex Nut 15,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
74,HN-8320,Hex Nut 4,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
75,HN-9161,Hex Nut 18,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
76,HN-9168,Hex Nut 19,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
77,HT-2981,Handlebar Tube,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
78,HT-8019,Head Tube,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
79,HU-6280,LL Hub,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
80,HU-8998,HL Hub,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
81,KW-4091,Keyed Washer,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
82,LE-1000,External Lock Washer 3,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
83,LE-1200,External Lock Washer 4,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
84,LE-1201,External Lock Washer 9,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
85,LE-1400,External Lock Washer 5,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
86,LE-3800,External Lock Washer 7,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
87,LE-5160,External Lock Washer 6,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
88,LE-6000,External Lock Washer 1,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
89,LE-7160,External Lock Washer 8,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
90,LE-8000,External Lock Washer 2,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
91,LI-1000,Internal Lock Washer 3,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
92,LI-1200,Internal Lock Washer 4,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
93,LI-1201,Internal Lock Washer 9,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
94,LI-1400,Internal Lock Washer 5,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
95,LI-3800,Internal Lock Washer 7,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
96,LI-5160,Internal Lock Washer 6,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
97,LI-5800,Internal Lock Washer 10,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
98,LI-6000,Internal Lock Washer 1,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
99,LI-7160,Internal Lock Washer 8,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
100,LI-8000,Internal Lock Washer 2,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
101,LJ-1213,Thin-Jam Lock Nut 9,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
102,LJ-1220,Thin-Jam Lock Nut 10,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
103,LJ-1420,Thin-Jam Lock Nut 1,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
104,LJ-1428,Thin-Jam Lock Nut 2,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
105,LJ-3410,Thin-Jam Lock Nut 15,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
106,LJ-3416,Thin-Jam Lock Nut 16,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
107,LJ-3816,Thin-Jam Lock Nut 5,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
108,LJ-3824,Thin-Jam Lock Nut 6,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
109,LJ-5161,Thin-Jam Lock Nut 3,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
110,LJ-5162,Thin-Jam Lock Nut 4,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
111,LJ-5811,Thin-Jam Lock Nut 13,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
112,LJ-5818,Thin-Jam Lock Nut 14,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
113,LJ-7161,Thin-Jam Lock Nut 7,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
114,LJ-7162,Thin-Jam Lock Nut 8,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
115,LJ-9080,Thin-Jam Lock Nut 12,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
116,LJ-9161,Thin-Jam Lock Nut 11,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
117,LN-1024,Lock Nut 5,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
118,LN-1032,Lock Nut 6,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
119,LN-1213,Lock Nut 16,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
120,LN-1220,Lock Nut 17,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
121,LN-1224,Lock Nut 7,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
122,LN-1420,Lock Nut 8,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
123,LN-1428,Lock Nut 9,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
124,LN-3410,Lock Nut 22,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
125,LN-3416,Lock Nut 23,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
126,LN-3816,Lock Nut 12,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
127,LN-3824,Lock Nut 13,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
128,LN-4400,Lock Nut 1,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
129,LN-5161,Lock Nut 10,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
130,LN-5162,Lock Nut 11,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
131,LN-5400,Lock Nut 2,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
132,LN-5811,Lock Nut 20,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
133,LN-5818,Lock Nut 21,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
134,LN-6320,Lock Nut 3,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
135,LN-7161,Lock Nut 14,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
136,LN-7162,Lock Nut 15,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
137,LN-8320,Lock Nut 4,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
138,LN-9080,Lock Nut 19,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
139,LN-9161,Lock Nut 18,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
140,LR-2398,Lock Ring,Silver,NULL,NULL,NULL,NULL,Current,NULL,NULL
141,LR-8520,Lower Head Race,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
142,LW-1000,Lock Washer 4,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
143,LW-1200,Lock Washer 5,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
144,LW-1201,Lock Washer 10,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
145,LW-1400,Lock Washer 6,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
146,LW-3400,Lock Washer 13,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
147,LW-3800,Lock Washer 8,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
148,LW-4000,Lock Washer 1,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
149,LW-5160,Lock Washer 7,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
150,LW-5800,Lock Washer 12,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
151,LW-6000,Lock Washer 2,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
152,LW-7160,Lock Washer 9,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
153,LW-8000,Lock Washer 3,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
154,LW-9160,Lock Washer 11,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
155,MA-7075,Metal Angle,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
156,MB-2024,Metal Bar 1,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
157,MB-6061,Metal Bar 2,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
158,MP-2066,Metal Plate 2,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
159,MP-2503,Metal Plate 1,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
160,MP-4960,Metal Plate 3,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
161,MS-0253,Metal Sheet 2,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
162,MS-1256,Metal Sheet 3,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
163,MS-1981,Metal Sheet 7,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
164,MS-2259,Metal Sheet 4,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
165,MS-2341,Metal Sheet 5,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
166,MS-2348,Metal Sheet 6,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
167,MS-6061,Metal Sheet 1,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
168,MT-1000,Metal Tread Plate,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
169,NI-4127,LL Nipple,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
170,NI-9522,HL Nipple,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
171,PA-187B,Paint - Black,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
172,PA-361R,Paint - Red,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
173,PA-529S,Paint - Silver,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
174,PA-632U,Paint - Blue,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
175,PA-823Y,Paint - Yellow,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
176,PB-6109,Pinch Bolt,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
177,RA-2345,Cup-Shaped Race,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
178,RA-7490,Cone-Shaped Race,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
179,RF-9198,Reflector,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
180,RM-M464,LL Mountain Rim,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
181,RM-M692,ML Mountain Rim,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
